FC,Pvalue,Significance,GeneName,GeneName2,Color
1.254138433,0.003953719,2.402994216,,,#009E73
0.817304091,0.004006121,2.397275906,,,#009E73
1.669626662,0.004023001,2.395449851,,,#009E73
0.703611765,0.004027872,2.394924355,,,#009E73
1.352632795,0.004037285,2.393910622,,,#009E73
1.126258505,0.004040326,2.393583557,,,#009E73
1.470355018,0.004077131,2.389645321,,,#009E73
-1.027920035,0.004099705,2.387247351,,,#F0E442
-1.39932216,0.004099878,2.387229096,,,#F0E442
-0.736606079,0.004107667,2.386404799,,,#F0E442
0.971624636,0.00412417,2.384663447,,,#009E73
1.377227551,0.004139141,2.383089771,,,#009E73
0.895261397,0.004156281,2.381295111,,,#009E73
-1.607856988,0.004164892,2.380396212,,,#F0E442
2.023258395,0.004175332,2.379309012,,,#009E73
-1.121528578,0.004229815,2.373678613,,,#F0E442
3.634735903,0.004238325,2.372805791,,,#009E73
-0.548532487,0.004247843,2.371831578,,,#F0E442
0.602849598,0.004297225,2.366811912,,,#009E73
0.479945507,0.004317252,2.364792571,,,#D3D3D3
1.209213382,0.00434974,2.361536702,,,#009E73
0.820610418,0.0044201,2.354567868,,,#009E73
-0.508948789,0.004432741,2.353327639,,,#F0E442
0.873124177,0.004443873,2.352238361,,,#009E73
-2.035746077,0.00445842,2.350818999,,,#F0E442
1.273428408,0.004477034,2.349009618,,,#009E73
0.777016636,0.004491753,2.347584179,,,#009E73
-0.823073797,0.004530254,2.343877417,,,#F0E442
1.361106544,0.004531393,2.343768274,,,#009E73
-1.045743814,0.004553194,2.341683876,,,#F0E442
0.427048287,0.004584822,2.338677517,,,#D3D3D3
0.670564291,0.004596102,2.337610313,,,#009E73
2.092244329,0.004599116,2.337325627,,,#009E73
1.420302673,0.004602149,2.337039349,,,#009E73
-3.144056341,0.004634307,2.334015245,,,#F0E442
1.601960844,0.00464466,2.333046098,,,#009E73
-1.538897181,0.004646708,2.332854611,,,#F0E442
0.840720021,0.004723477,2.325738167,,,#009E73
-0.609943318,0.004785985,2.320028682,,,#F0E442
-1.504340644,0.004800246,2.318736527,,,#F0E442
1.335383924,0.004815099,2.317394765,,,#009E73
2.185255707,0.004829953,2.316057069,,,#009E73
-0.974497102,0.004860178,2.313347865,,,#F0E442
-0.826963816,0.00486638,2.312793969,,,#F0E442
-2.159383287,0.004892082,2.310506241,,,#F0E442
1.138631657,0.004892997,2.310425016,,,#009E73
0.755033317,0.004909599,2.308953946,,,#009E73
1.289965598,0.004916881,2.308310318,,,#009E73
1.700259613,0.004983656,2.302451924,,,#009E73
0.963558184,0.00501506,2.299723857,,,#009E73
-0.837391179,0.005034864,2.298012284,,,#F0E442
-1.004927792,0.005035315,2.297973355,,,#F0E442
0.853820821,0.005059683,2.295876677,,,#009E73
-0.61631896,0.005065349,2.295390631,,,#F0E442
-0.484046514,0.005084143,2.293782228,,,#D3D3D3
2.186213653,0.005114887,2.291163991,,,#009E73
-2.927692062,0.005132204,2.289696116,,,#F0E442
-0.483759282,0.005137632,2.28923702,,,#D3D3D3
-1.083985626,0.005172941,2.286262436,,,#F0E442
-1.859248616,0.005238177,2.280819826,,,#F0E442
0.751504555,0.005245293,2.280230235,,,#009E73
-0.808912687,0.005299527,2.27576286,,,#F0E442
0.856969524,0.005337556,2.272657533,,,#009E73
-0.576432992,0.00536657,2.27030317,,,#F0E442
1.747577438,0.005422523,2.265798585,,,#009E73
-2.422649412,0.005439898,2.264409281,,,#F0E442
-0.813940389,0.005454841,2.263217879,,,#F0E442
-1.022555707,0.005490494,2.260388583,,,#F0E442
1.29893558,0.005508589,2.258959608,,,#009E73
0.378187428,0.00551543,2.258420632,,,#D3D3D3
0.404796232,0.005516883,2.258306188,,,#D3D3D3
-0.967204586,0.005535163,2.256869587,,,#F0E442
0.815164673,0.005558987,2.255004345,,,#009E73
0.714194738,0.005565941,2.25446138,,,#009E73
-0.614093899,0.005584159,2.25304222,,,#F0E442
0.789360771,0.005595922,2.252128354,,,#009E73
1.631105922,0.005657914,2.24734363,,,#009E73
-0.409240049,0.005707329,2.243567077,,,#D3D3D3
-2.750730119,0.005752838,2.240117827,,,#F0E442
-1.057213825,0.005764911,2.23920738,,,#F0E442
-0.920004527,0.005769153,2.238887977,,,#F0E442
0.564759114,0.005781294,2.237974939,,,#009E73
-0.307146871,0.005790478,2.237285552,,,#D3D3D3
-0.709570759,0.005834821,2.233972463,,,#F0E442
0.758260064,0.005860007,2.232101887,,,#009E73
0.837137761,0.005873364,2.231113055,,,#009E73
-0.573085523,0.005891435,2.229778878,,,#F0E442
-1.014278487,0.005902745,2.228945997,,,#F0E442
-1.075594343,0.00592681,2.227178982,,,#F0E442
1.358013939,0.005948177,2.225616108,,,#009E73
0.521823775,0.005956044,2.225042098,,,#009E73
-1.058813214,0.005979296,2.223349946,,,#F0E442
0.741974676,0.005983397,2.223052205,,,#009E73
-0.503922362,0.005997312,2.222043335,,,#F0E442
1.655444375,0.006045963,2.218534521,,,#009E73
-1.102190351,0.006048376,2.218361217,,,#F0E442
1.427445848,0.00605085,2.218183624,,,#009E73
-0.824492096,0.006071455,2.216707215,,,#F0E442
-0.547690032,0.006077128,2.216301612,,,#F0E442
-0.595567861,0.006081539,2.215986538,,,#F0E442
0.843592869,0.006109664,2.213982678,,,#009E73
1.842389118,0.006117756,2.213407839,,,#009E73
-3.360169906,0.006124799,2.212908127,,,#F0E442
0.945598141,0.006129703,2.212560594,,,#009E73
1.6458423,0.006156218,2.210686042,,,#009E73
0.679641837,0.006156409,2.210672536,,,#009E73
2.298182782,0.006206081,2.207182591,,,#009E73
-0.432977605,0.006220838,2.206151096,,,#D3D3D3
2.544285598,0.006228621,2.205608085,,,#009E73
2.108879297,0.006243424,2.204577194,,,#009E73
1.646127714,0.006249266,2.204170995,,,#009E73
0.929172877,0.006254494,2.203807841,,,#009E73
0.987686191,0.006321409,2.199186079,,,#009E73
-1.324005413,0.006324855,2.198949394,,,#F0E442
1.000837957,0.006325938,2.198875073,,,#009E73
-0.661098678,0.006366302,2.196112758,,,#F0E442
-1.749520646,0.006393312,2.194274082,,,#F0E442
0.720670754,0.006491833,2.187632653,,,#009E73
