"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"130","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CACNG2",-1.28840796279937
"131","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CACNG2",0.914591601864291
"132","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CACNG2",0.718280022655193
"133","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","CACNG2",0.238793977500824
"134","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CACNG2",-1.59228731638048
"135","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CACNG2",-0.916489692017013
"136","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","NAB1",-1.88749527677976
"137","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","NAB1",-0.563705618916991
"138","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","NAB1",-0.0228981658944705
"139","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","NAB1",0.168537854354604
"140","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","NAB1",0.289625230263463
"141","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","NAB1",-0.372269598667919
"142","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","NAB1",-0.96750479530344
"143","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","NAB1",-2.07893129702883
"144","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","NAB1",-2.07893129702883
"145","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","NAB1",1.29213601370945
"146","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","NAB1",0.724484677912662
"147","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","NAB1",0.566594088381377
"148","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","NAB1",1.49232751221737
