"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"191","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-0.960640501806393
"192","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","YWHAG",-1.30468764228825
"193","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-1.09479636365569
"194","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","YWHAG",-0.877278590775206
"195","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","YWHAG",-0.252124468291283
"196","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.24897267368487
"197","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.34684938998154
"198","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.40345984333271
"199","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",1.30068708170413
"200","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",1.09944055648225
"201","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",0.92670300134394
"202","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","UCHL1",1.61408089595709
"203","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.68737148678839
"204","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.70571202320219
"205","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.59112603519429
"206","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","UCHL1",1.46247879804936
